Membership No  Date Joined  Active  
    34950      2016-2-15    yes   
    38935      2016-4-21    yes   
    60046      2019-5-8     yes   
    60892      2015-10-16   yes   
    95764      2019-10-12   yes   
    94839      2017-8-8     yes   
    24388      2018-8-3     yes   
    31324      2015-12-6    yes   
    85116      2019-7-17    yes   
    25602      2018-11-16   yes   
    92553      2019-11-25   yes   
    23246      2017-11-2    yes   
    73047      2019-5-14    yes   
