Membership No  Date Joined  Active  
    45436      2019-4-6     no    
    97665      2020-4-22    no    
    17057      2016-7-22    no    
    71331      2020-6-11    no    
    89584      2020-12-1    no    
    69229      2020-6-7     no    
    62622      2015-2-11    no    
    65979      2018-9-20    no    
    61505      2017-3-18    no    
    48384      2019-12-1    no    
    57261      2019-8-15    no    
    18267      2020-3-1     no    
    80633      2016-3-19    no    
